N,M,TiempoFilaColumna,TiempoColumnaFila
100,100,0.000007,0.000005
100,1000,0.000048,0.000058
100,10000,0.000446,0.000557
100,100000,0.004495,0.005705
100,1000000,0.046048,0.057938
1000,100,0.015405,0.019357
1000,1000,0.005584,0.006888
1000,10000,0.006259,0.006693
1000,100000,0.045686,0.045772
1000,1000000,0.442381,0.445431
10000,100,0.148015,0.148906
10000,1000,0.053734,0.054021
10000,10000,0.061193,0.061334
10000,100000,0.447039,0.448207
10000,1000000,4.420431,4.428830
100000,100,1.478970,1.480679
100000,1000,0.536565,0.537150
100000,10000,0.605744,0.605960
100000,100000,4.497903,4.515812
100000,1000000,44.284969,44.254765
1000000,100,14.818768,14.795200
1000000,1000,5.371778,5.361603
1000000,10000,6.063524,6.062805
1000000,100000,44.756626,44.675495
1000000,1000000,443.319458,446.157104
